"id","name","applicability"
"account_tag_103302","103_302","taxes"
"account_tag_103303","103_303","taxes"
"account_tag_103304","103_304","taxes"
"account_tag_103306","103_306","taxes"
"account_tag_103307","103_307","taxes"
"account_tag_103308","103_308","taxes"
"account_tag_103309","103_309","taxes"
"account_tag_103310","103_310","taxes"
"account_tag_103311","103_311","taxes"
"account_tag_103312","103_312","taxes"
"account_tag_103314","103_314","taxes"
"account_tag_103319","103_319","taxes"
"account_tag_103320","103_320","taxes"
"account_tag_103322","103_322","taxes"
"account_tag_103323","103_323","taxes"
"account_tag_103332","103_332","taxes"
"account_tag_103334","103_334","taxes"
"account_tag_103343","103_343","taxes"
"account_tag_103344","103_344","taxes"
"account_tag_103345","103_345","taxes"
"account_tag_103346","103_346","taxes"
"account_tag_103419","103_419","taxes"
"account_tag_103422","103_422","taxes"
